,customer_id,campaign_id,activity_type,viewers,pageviews,duration,chats,likes,date,clicks,original_price,discount_price,click_revenue,product_id
0,171,10139,live,520,631,154563.375,103,280,2023-08-07,110,185000,173400,5373900,3
1,164,7390,live,533,784,164836.593,199,19485,2023-05-04,816,4244000,3819600,131658300,20
2,164,7822,live,538,794,158361.52,437,2242,2023-06-22,627,4182000,3543220,114391260,19
3,171,12778,live,558,613,28583.996,21,6,2023-11-01,834,153000,121510,20999770,5
4,164,8686,live,574,909,150127.407,248,22852,2023-07-03,929,2399000,1395230,74765550,18
5,164,8697,live,588,873,148860.542,330,7232,2023-07-24,1015,1970100,1271247,46641297,29
6,164,7395,live,606,947,170281.353,467,1830,2023-05-25,1439,4062000,2944143,130795056,39
7,164,8695,live,619,879,179630.169,101,6497,2023-07-18,881,2756000,1912773,124075553,14
8,164,9811,live,626,1001,153936.803,503,14285,2023-08-29,691,2687000,2048072,83549209,15
9,164,7393,live,628,926,134976.676,136,2463,2023-05-16,977,8435000,8013250,115764150,53
10,164,7852,live,632,1162,196470.954,248,25208,2023-06-13,1118,6136000,5522400,163476900,37
11,164,8696,live,649,881,152904.29,518,7679,2023-07-20,1035,5121000,3783198,136465290,31
12,164,7004,live,656,993,160808.89,361,2953,2023-04-04,1099,1677000,1211627,88624973,14
13,141,12708,live,683,874,30860.473,13,207,2023-10-26,421,499300,199300,9994900,7
14,171,11912,live,687,773,66030.179,12,51,2023-09-26,143,146500,97020,2942310,4
15,164,7824,live,696,937,126854.369,197,4596,2023-06-29,1152,620000,441400,48997900,10
16,164,8689,live,705,1009,144518.975,275,4733,2023-07-10,1014,5256000,4249000,133091000,32
17,164,7062,live,709,907,146706.854,288,8030,2023-04-06,1076,694400,469597,40564169,13
18,164,7132,live,727,1095,217934.634,342,17709,2023-04-14,1795,4119000,2437036,86480856,51
19,164,7434,live,750,1094,200820.182,365,11934,2023-05-09,1491,4060000,2923200,128394720,35
20,164,7168,live,759,1047,130454.103,61,11234,2023-04-20,1058,4669000,3948000,83524550,51
21,164,7389,live,834,1217,212990.755,232,6359,2023-05-02,1236,3782000,3025600,114078400,31
22,164,7392,live,887,1183,172597.469,244,6943,2023-05-11,1268,2315000,1967750,190869200,15
23,164,7170,live,894,1316,175387.177,142,4094,2023-04-27,1774,502000,352355,81664320,8
24,164,11086,live,896,1327,218718.515,267,3570,2023-09-06,1726,3436000,2459905,325615665,12
25,164,11883,live,918,1468,156095.065,143,2403,2023-10-11,1507,7470000,5827175,212415870,50
26,171,10598,live,929,1087,180860.753,60,163,2023-08-03,114,170700,153630,6572340,3
27,164,7167,live,933,1247,171895.407,121,1655,2023-04-18,1617,2514000,1558726,151513024,16
28,171,11904,live,954,1068,84680.672,2,594,2023-09-25,116,41900,33940,3937040,1
29,164,8693,live,963,1527,230829.551,377,5830,2023-07-13,1752,3297000,2290005,176694885,23
30,171,12059,live,1001,1113,73844.064,7,96,2023-10-15,201,163500,139800,10469110,3
31,171,8098,live,1005,1132,164966.765,1,109,2023-06-07,80,449830,378440,5181500,6
32,171,12057,live,1015,1119,72675.16,1,154,2023-10-15,93,132800,110610,5267790,2
33,171,11669,live,1016,1161,57330.619,1,5,2023-09-20,41,3746500,2277190,8689330,10
34,171,8320,live,1023,1136,172389.204,0,11,2023-06-04,102,57186490,50543040,108085340,44
35,164,11093,live,1025,1641,279638.185,848,5258,2023-09-20,2201,4549000,3434766,280121551,30
36,171,8726,live,1026,1207,183678.17,27,251,2023-06-28,100,101000,85000,4187000,2
37,171,12126,live,1037,1132,78827.134,9,1129,2023-10-09,111,1552210,1397000,50489000,3
38,171,12704,live,1051,1188,81083.929,5,1,2023-10-25,129,304900,198430,5094310,5
39,171,12695,live,1054,1178,103009.621,37,111,2023-10-25,65,452900,340900,1805500,11
40,171,12687,live,1058,1170,76016.311,3,0,2023-10-28,195,210600,188640,8801550,4
41,171,12217,live,1060,1214,132909.49,13,1241,2023-10-12,186,198700,153100,2372600,13
42,141,7812,live,1066,1609,135126.687,27,1374,2023-05-21,1012,19085000,9472400,504456400,21
43,171,8105,live,1068,1266,252235.827,69,1665,2023-06-08,83,7673000,6905700,110418300,7
44,171,9492,live,1072,1229,193522.194,19,108,2023-07-27,350,76800,58700,7471700,2
45,171,12054,live,1078,1202,95666.377,3,69,2023-10-14,150,229700,193720,7833510,3
