,0
64070,46872.56240932463
64071,27376.24271851746
64072,27376.24271840229
64073,27376.242718432273
64074,27376.242718422152
74104,26239.248888503054
74105,31098.297039406978
74106,31098.297039381603
74107,26239.248888493596
74108,41444.30502567422
74110,38639.32783950139
74111,47449.72593251402
74113,112548.17500178702
74114,31098.29703939349
74115,27480.410438600622
74116,38749.79569476463
74117,27289.79129188352
74118,27289.79129188352
74119,27289.79129188352
74120,27289.79129188352
74121,26239.248888503338
74122,27342.768642158226
74123,27342.768642158226
74125,27342.768642158226
74126,27342.768642158226
74127,27342.768642158226
74128,27338.047442821487
74129,27338.047442821487
74130,27338.047442821487
74131,27338.047442821487
74132,38710.23838409217
74613,60817.083281059706
77769,23154.12414312616
77771,23154.12414312616
78671,53507.76869858311
78672,56240.94807862819
78673,48170.21829985081
78674,-128392.74196670575
78676,-128392.74196670575
78679,23154.77976397499
78680,23154.77976397499
78682,53189.821112131045
78683,38630.69527233821
78684,53189.821112131045
78685,182368.2103667549
78686,191183.14112173778
78687,180541.02564458788
78688,180541.02564458817
78689,58772.25826692597
78691,285823.10286450014
78693,-142078.35307032336
78694,-159104.5334599563
78695,-156601.9601071172
78696,-14362.92612996808
78697,90463.39980612998
78698,39887.499097265856
78699,39887.499097265856
78700,39887.499097265856
78701,39887.499097265856
78702,39887.499097265856
78746,26878.68773345426
78747,38033.30206993494
78748,38033.30206993494
78749,26878.68773345426
78750,38033.30206993494
78751,26878.68773345426
78756,49403.92162321179
78757,49403.92162321179
78758,49403.92162321179
78759,29166.744429202197
78760,49403.92162321179
78761,49403.92162321179
78762,29166.744429202197
78763,29166.744429202197
78764,37947.67757509579
78765,24860.31108200208
78766,24860.31108200208
78767,24860.31108200208
78769,26316.78410387459
78770,26316.78410387459
78771,26316.78410387459
78772,26316.78410387459
78773,26316.78410387459
78876,35665.487875146995
78877,35665.487875146995
78878,35665.487875146995
78879,35665.487875146995
78880,35665.487875146995
78881,25412.440987032584
78882,35665.487875146995
78883,35665.487875146995
78884,35665.487875146995
79297,112619.28192558678
79298,112619.28192558678
79299,112619.28192558678
79300,112619.28192558678
79303,112619.28192558678
79304,102483.19595529576
79305,18130.15614311937
79306,102483.19595529576
79307,102483.19595529576
79308,44745.97234175757
79310,391841.8640044435
79313,56218.29295702124
79326,330739.1580983192
79328,233235.65499558803
79333,59449.295502161985
79334,59449.295502161985
79335,59449.295502161985
79336,78231.100957592
79355,51906.9633307444
79356,51906.9633307444
79357,43460.43247878052
79358,43460.43247878052
79365,67776.93868482858
79368,116758.2395016225
79369,33698.637455460615
79371,-23728.68357426254
79374,512189.6441425965
79378,514624.0938705867
79400,26122.02492748401
79401,26122.02492748401
79402,26122.02492748401
79405,35545.41034968324
79413,23154.34564136385
79418,48484.04905070443
79419,39837.8848752264
79420,39837.8848752264
79421,39837.8848752264
79422,39790.81834240374
79423,39837.8848752264
79438,35995.71347156857
79439,52306.64744141097
79465,104453.51125247695
79470,44434.18686227505
79471,44434.18686227505
79472,-479950.9000055152
79473,-479950.9000055152
79474,-479950.9000055152
79475,-479950.9000055152
79476,-479950.9000055152
79477,-479950.9000055152
79478,181825.1401568707
79479,-31057.67065450363
79480,41292.03438115772
79481,-220215.2388741998
79482,-234619.82466599252
79484,185792.44650777522
79485,-479950.9000055152
79486,-315722.4814915238
79487,-479950.9000055152
79488,-479950.9000055152
79489,-180915.84418796096
79490,-479950.9000055152
79491,159779.76605812367
79492,246620.96540375333
79493,-180915.84418796096
79494,-252381.78064217046
79495,-337464.31064526225
79496,-144610.126332229
79501,-479950.9000055152
79502,-479950.9000055152
79503,-479950.9000055152
79504,-479950.9000055152
79505,132895.92345107213
79506,470790.5514871195
79507,466967.1255123784
79508,466967.1255123784
79509,455148.24635780975
79510,450518.579337685
79512,470790.5514871195
79513,470790.5514871195
79514,461756.7645575594
79515,461756.7645575594
79516,440267.0664085763
79517,456752.6220853068
79518,470790.5514871195
79519,461756.7645575594
79520,435905.9691659637
79521,414274.7379218249
79522,398449.00539970887
79523,374601.9207965258
79524,359374.6995637502
79525,346134.53089186957
79526,418018.90056489175
79527,446435.1903688322
79528,354479.79055941815
79529,428650.5467916208
79530,30780.54480733633
79531,30780.54480733633
79532,30780.54480733633
79533,30780.54480733633
79534,30780.54480733633
79535,30780.54480733633
79536,30780.54480733633
79537,30780.54480733633
79538,22303.496947528838
79579,88844.9333050074
79580,85388.07292445685
79581,85388.07292445685
79583,88844.9333050074
79584,27057.956895912394
79587,41346.74157681022
79590,41346.74157681022
79597,21251.040958841222
79598,19434.397178803672
79619,788781.7971867417
79620,788781.7971867417
79621,771408.7830390756
79622,788781.7971867417
79623,671367.2449268638
79624,788781.7971867417
79625,753263.2837186633
79626,761774.9504964857
79627,720186.6746354501
79633,240532.28287741813
79634,2070598.034733329
79635,1588655.6416004507
79636,1513372.8230809805
79637,1904420.0877968022
79638,2006944.0190913272
79639,1904420.0877968022
79640,2070598.034733329
79641,2070598.034733329
79642,1964145.4091484023
79643,2070598.034733329
79644,1933702.2199661
79645,1749715.1037158777
79646,1998999.7320696288
79647,1836216.7139769571
79648,1836169.288319926
79649,1695143.9832913345
79650,1706296.7076986127
79651,1763933.3841677888
79652,1426737.410529339
79653,1274161.5433550926
79654,1611037.9838212575
79655,1719844.2596702285
79656,1470894.7347658165
79657,1389221.9834826658
79658,1576527.221621235
79659,1587351.6232558878
79660,1674361.9274282234
79661,1864568.9655862034
79662,1746119.7322284505
79663,24066.96595367298
79664,24066.96595367298
79665,24066.96595367298
79666,385249.83996362006
79667,512189.6441425965
79668,479961.5454989439
79669,458180.2559727719
79670,530058.7167809429
79671,484036.7934989417
79672,566746.3289507683
79679,192932.85917239543
79680,66709.47994114074
79681,132781.5810003782
79685,-138751.47825520067
79686,464909.04389957245
79687,510224.2726841569
79705,422441.0635052719
79706,300845.93214220565
79707,88818.96991381758
79708,88818.96991381758
79709,88818.96991381758
79710,168721.51832162053
79711,140251.10387066344
79712,88818.96991381758
79713,88818.96991381758
79714,88818.96991381758
79715,88818.96991381758
79716,88818.96991381758
79718,65748.31112704652
79719,103149.15387053616
79720,35995.71347156857
79721,103149.15387053616
79722,116446.98361305718
79723,35995.71347156857
79726,69514.4213727017
79727,69514.4213727017
79728,37833.014413630706
79734,52736.81186197582
79743,107312.83763046254
79744,107312.83763046254
79746,107312.83763046254
79788,-173488.86369618145
79792,33698.637455460615
79795,547378.8921698071
79796,489933.3975241068
79798,502101.08809235785
79799,246133.25458373688
79800,347081.4301818544
79801,444256.47702315636
79803,443375.22801483236
79804,538173.5011910321
79805,126686.01784475008
79811,538173.5011910321
79813,404764.67985265143
